university	name	paper_count	affiliation_status	affiliations	topics	paper_ids	paper_titles	paper_years
KK	Khalil Israfilzade	2	confirmed		Artificial intelligence; Computer science; Data science; Epistemology; Generative grammar; Linguistics; Marketing; Sociology	W4391676703; W4413181039	Beyond interaction: Generative AI in conversational marketing - foundations, developments, and future directions; The Role of Generative Artificial Intelligence in E-Commerce: Trends, Challenges and Opportunities	2024; 2025
KK	Ioseb Gabelaia	2	confirmed		Artificial intelligence; Business; Computer science; Dynamics (music); Engineering; Gig economy; Knowledge management; Psychology	W4411641989; W4397032894	Modern Slavery in the Gig Economy: Analysing the Exploitation of Gig and Freelance Workers through AI-Driven Communication Strategies and Automated Surveillance; Exploring the Intersections of Artificial Intelligence, Organizational Behavior, and Communication Dynamics in the Modern Workplace	2025; 2024
KK	Ramunė Bagočiūnaitė	2	confirmed		Artificial intelligence; Business; Computer science; Dynamics (music); Engineering; Gig economy; Knowledge management; Psychology	W4411641989; W4397032894	Modern Slavery in the Gig Economy: Analysing the Exploitation of Gig and Freelance Workers through AI-Driven Communication Strategies and Automated Surveillance; Exploring the Intersections of Artificial Intelligence, Organizational Behavior, and Communication Dynamics in the Modern Workplace	2025; 2024
KK	Viktorija Navickienė	2	confirmed		Artificial intelligence; Business; Computer science; Dynamics (music); Engineering; Gig economy; Knowledge management; Psychology	W4411641989; W4397032894	Modern Slavery in the Gig Economy: Analysing the Exploitation of Gig and Freelance Workers through AI-Driven Communication Strategies and Automated Surveillance; Exploring the Intersections of Artificial Intelligence, Organizational Behavior, and Communication Dynamics in the Modern Workplace	2025; 2024
KK	Lina Šarlauskienė	1	confirmed		Business; Computer science; European union; Field (mathematics); Knowledge management; Management science; Selection (genetic algorithm); Software deployment; Transformative learning	W4400460850	Criteria for selecting artificial intelligence tools	2024
KK	Samanta Dagytė	1	confirmed		Business; Computer science; European union; Field (mathematics); Knowledge management; Management science; Selection (genetic algorithm); Software deployment; Transformative learning	W4400460850	Criteria for selecting artificial intelligence tools	2024
KK	Dalia Perkumienė	1	confirmed		Business; Computer science; Engineering; Environmental planning; Environmental resource management; Sustainability; Sustainable management	W4410858606	Artificial Intelligence Technologies as Smart Solutions for Sustainable Protected Areas Management	2025
KK	Larbi Safaa	1	confirmed		Business; Computer science; Engineering; Environmental planning; Environmental resource management; Sustainability; Sustainable management	W4410858606	Artificial Intelligence Technologies as Smart Solutions for Sustainable Protected Areas Management	2025
KK	Violeta Vasiliauskienė	1	confirmed		Business; Computer security; National security; Political science; Public relations	W4411160104	BUSINESS ACTIONS POSING THREAT TO NATIONAL SECURITY	2025
KK	Anželika Banevičienė	1	confirmed		Business; Computer security; National security; Political science; Public relations	W4411160104	BUSINESS ACTIONS POSING THREAT TO NATIONAL SECURITY	2025
