openalex_id	university	title	keep	pdf_url	status	detail
W2910890213	USPN	Explainable artificial intelligence for breast cancer: A visual case-based reasoning approach	no	https://www.sciencedirect.com/science/article/am/pii/S0933365718304846?via%3Dihub	SKIPPED	keep != yes
W3213913630	USPN	Gaia-AgStream: An Explainable AI Platform for Mining Complex Data Streams in Agriculture	no		SKIPPED	keep != yes
W4401822498	USPN	Exploring Explainable AI Techniques for Text Classification in Healthcare: A Scoping Review	no	https://ebooks.iospress.nl/pdf/doi/10.3233/SHTI240544	SKIPPED	keep != yes
W4286774193	USPN	Gaia-AgStream: An Explainable AI Platform for Mining Complex Data Streams in Agriculture	no	https://hal.science/hal-03636208	SKIPPED	keep != yes
W7135090175	USPN	XDeepNN: An Explainable AI Framework for Identifying Adversarial Attacks	no		SKIPPED	keep != yes
W4414587670	USPN	Computing an Approximating Version of a Minimum-Size Explanation for Boolean Decision Tree Classifiers	no	https://hal.science/hal-04983937/document	SKIPPED	keep != yes
W4415143672	USPN	Explainable Analysis of Patient Profiles with Sleep Disorders: Clustering Approach and Identification of Key Factors	no	https://hal.science/hal-05177129	SKIPPED	keep != yes
W7134911876	USPN	Explainable Profiling of Sleep Disorders to Support Trustworthy Clinical Interventions	no		SKIPPED	keep != yes
W4213288261	USPN	Users’ Reactions on Announced Vaccines against COVID-19 Before Marketing in France: Analysis of Twitter posts	no	https://www.medrxiv.org/content/medrxiv/early/2022/02/15/2022.02.14.22268832.full.pdf	SKIPPED	keep != yes
W4409364251	USPN	Linking Industry Sectors and Financial Statements: A Hybrid Approach for Company Classification	no	https://ojs.aaai.org/index.php/AAAI/article/download/33806/35961	SKIPPED	keep != yes
W7131130946	USPN	Regards croisés sur l’état des lieux de l’utilisation des technologies dans le rugby féminin et masculin élite en France	no	https://doi.org/10.1016/j.jts.2026.01.002	SKIPPED	keep != yes
W4387456745	USPN	Unsupervised physics-informed neural network in reaction-diffusion biology models (Ulcerative colitis and Crohn’s disease cases) A preliminary study	no	https://www.researchsquare.com/article/rs-3405428/latest.pdf	SKIPPED	keep != yes
W4313507626	USPN	The bacterial genetic determinants of <i>Escherichia coli</i> capacity to cause bloodstream infections in humans	no	https://www.biorxiv.org/content/biorxiv/early/2023/01/02/2022.12.31.522367.full.pdf	SKIPPED	keep != yes
W4407071893	USPN	Optimising covariate allocation at design stage using Fisher Information Matrix for Non-Linear Mixed Effects Models in pharmacometrics	no	https://www.medrxiv.org/content/medrxiv/early/2025/09/24/2025.01.31.25321452.full.pdf	SKIPPED	keep != yes
W4385481089	USPN	The bacterial genetic determinants of Escherichia coli capacity to cause bloodstream infections in humans	no	https://doi.org/10.1371/journal.pgen.1010842	SKIPPED	keep != yes
W4362706442	USPN	A review and a tutorial of ML-based MDS technology within a VANET context: From data collection to trained model deployment	no	https://www.techrxiv.org/articles/preprint/A_review_and_a_tutorial_of_ML-based_MDS_technology_within_a_VANET_context_From_data_collection_to_trained_model_deployment/22559473/1/files/40029634.pdf	SKIPPED	keep != yes
W4404289464	USPN	Assessing Aircraft Engine Wear through Simulation Techniques	no	http://www.papers.phmsociety.org/index.php/phmconf/article/download/3924/phmc_24_3924	SKIPPED	keep != yes
