openalex_id	university	title	keep	pdf_url	status	detail	timestamp
W3127380775	USPN	Ultraviolet disinfection robots to improve hospital cleaning: Real promise or just a gimmick?	no	https://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-020-00878-4	SKIPPED	keep != yes	2026-03-29T13:44:23.978504
W2773314373	USPN	Anatomical variations and pitfalls to know during thoracoscopic segmentectomies	no	https://jtd.amegroups.com/article/viewFile/17792/pdf	SKIPPED	keep != yes	2026-03-29T13:44:23.978537
W4285409253	USPN	Intelligent Aerial-Ground Surveillance and Epidemic Prevention with Discriminative Public and Private Services	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978544
W3072201153	USPN	Behavioural variability among captive African elephants in the use of the trunk while feeding	no	https://peerj.com/articles/9678.pdf	SKIPPED	keep != yes	2026-03-29T13:44:23.978550
W4386957833	USPN	Upright patient positioning for gantry-free breast radiotherapy: feasibility tests using a robotic chair and specialised bras	no	https://www.frontiersin.org/articles/10.3389/fonc.2023.1250678/pdf?isPublishedV2=False	SKIPPED	keep != yes	2026-03-29T13:44:23.978556
W4315703142	USPN	Objective quality assessment of medical images and videos: review and challenges	no	https://link.springer.com/content/pdf/10.1007/s11042-024-20292-x.pdf	SKIPPED	keep != yes	2026-03-29T13:44:23.978562
W2819134329	USPN	Détection automatique, description linguistique et suivi des néologismes en corpus : point d'étape sur les tendances du français contemporain	no	https://www.shs-conferences.org/articles/shsconf/pdf/2018/07/shsconf_cmlf2018_08002.pdf	SKIPPED	keep != yes	2026-03-29T13:44:23.978568
W4210619689	USPN	Building Squares with Optimal State Complexity in Restricted Active Self-Assembly	no	https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.SAND.2022.6	SKIPPED	keep != yes	2026-03-29T13:44:23.978576
W3205300795	USPN	Switching models and control of Petri Nets with shared resources under marking constraints	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978582
W4391113119	USPN	Reconfigurable UAV-aided 3D sustainable surveillance in classified air-spaces	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978587
W4391957300	USPN	High-Throughput Bacteriophage Testing with Potency Determination: Validation of an Automated Pipetting and Phage Drop-Off Method	no	https://www.mdpi.com/2227-9059/12/2/466/pdf?version=1708425987	SKIPPED	keep != yes	2026-03-29T13:44:23.978591
W4233699585	USPN	Thoracic surgery in France	no	https://jtd.amegroups.com/article/viewFile/62552/pdf	SKIPPED	keep != yes	2026-03-29T13:44:23.978597
W2901411806	USPN	Motorized scope positioner for solo thoracoscopic surgery	no	https://doi.org/10.21037/vats.2018.11.01	SKIPPED	keep != yes	2026-03-29T13:44:23.978602
W2148884131	USPN	Corpus issus du Web : constitution et analyse informationnelle	no	http://www.erudit.org/fr/revues/rql/2003-v32-n1-rql1022/012246ar.pdf	SKIPPED	keep != yes	2026-03-29T13:44:23.978607
W2921553744	USPN	Intelligence artificielle et décisions juridictionnelles	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978613
W4390734011	USPN	Offline and online energy-efficient monitoring of scattered uncertain logs using a bounding model	no	https://lmcs.episciences.org/12859/pdf	SKIPPED	keep != yes	2026-03-29T13:44:23.978618
W4401974962	USPN	Application of the Finite Element Method (FEM) to Analyze the Mechanical Behavior of Piezoelectric Materials When an Electric Field Is Applied to a Piezoelectric Structure (Inverse Piezoelectricity)	no	https://www.mdpi.com/2673-4591/67/1/13/pdf?version=1724125382	SKIPPED	keep != yes	2026-03-29T13:44:23.978623
W3138944983	USPN	A Distributed Anticipatory Life- Enhancing Recovery Approach for Unmanned Aerial Vehicular Networks	no	https://hal.science/hal-04018743/document	SKIPPED	keep != yes	2026-03-29T13:44:23.978630
W4282968959	USPN	Human Head and Neck Kinematics during Autonomous and Human Braking in Three Initial Head Positions	no	http://hdl.handle.net/10985/22176	SKIPPED	keep != yes	2026-03-29T13:44:23.978635
W4380318821	USPN	MoULDyS: Monitoring of autonomous systems in the presence of uncertainties	no	https://arxiv.org/pdf/2407.17201	SKIPPED	keep != yes	2026-03-29T13:44:23.978641
W2096267795	USPN	Could interactions beetween puppies, Canis familiaris, and a dog-robot (aibo, sony©) during a short meeting predict further interactions between these dogs and conspecifics?	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978646
W2354136305	USPN	A Concept of Dynamically Reconfigurable Real-time Vision System for Autonomous Mobile Robotics	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978652
W3110478162	USPN	Cancer de la prostate et chirurgie robot-assistée	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978657
W3203761324	USPN	Equational Model Guided by Real-time Sensor Data to Monitor Industrial Robots	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978661
W4225592307	USPN	Global Modernity from Coloniality to Pandemic	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978665
W4402970233	USPN	Socially assistive robots for eldercare. Habilitating and prosthetic strategies in the emergence of innovation in long-term care facilities for older adults	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978670
W4412374197	USPN	Distributed fault-tolerant control approach for discrete event systems using timed automata with guards: application to an electric power network	no	https://link.springer.com/content/pdf/10.1007/s40435-025-01704-8.pdf	SKIPPED	keep != yes	2026-03-29T13:44:23.978676
W4415251107	USPN	M3ET: Efficient Vision-Language Learning for Robotics based on Multimodal Mamba-Enhanced Transformer	no	https://arxiv.org/pdf/2509.18005	SKIPPED	keep != yes	2026-03-29T13:44:23.978682
W4416281270	USPN	A Human-Robot Interaction Platform for Intraoral Dental Scan	no	https://hal.science/hal-05304473/document	SKIPPED	keep != yes	2026-03-29T13:44:23.978688
W7130725734	USPN	M3ET: Efficient Vision-Language Learning for Robotics based on Multimodal Mamba-Enhanced Transformer	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978693
W4412069885	USPN	Beyond the reverse product cycle: An exploration of the digital, social and spatial transformation of libraries	no	https://doi.org/10.1016/j.respol.2025.105297	SKIPPED	keep != yes	2026-03-29T13:44:23.978697
W2586027259	USPN	Controlling Actions and Time in Parametric Timed Automata	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978703
W2914000830	USPN	Parametric Analyses of Attack-Fault Trees	no	https://arxiv.org/pdf/1902.04336	SKIPPED	keep != yes	2026-03-29T13:44:23.978708
W1995027707	USPN	hTracker: Towards a service provider oriented Peer-to-Peer architecture	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978713
W4385991471	USPN	Camouflage-based location privacy preserving scheme in vehicular ad hoc networks	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978717
W4393300573	USPN	Temporal Logic Formalisation of ISO 34502 Critical Scenarios: Modular Construction with the RSS Safety Distance	no	https://dl.acm.org/doi/pdf/10.1145/3605098.3636014	SKIPPED	keep != yes	2026-03-29T13:44:23.978722
W3098405735	USPN	Unmanned aerial vehicle with underlaid device-to-device communications:performance and tradeoffs	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978728
W2797042082	USPN	Designing UAV Surveillance Frameworks for Smart City and Extensive Ocean with Differential Perspectives	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978735
W2895882341	USPN	A Collision-Free Surveillance System Using Smart UAVs in Multi Domain IoT	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978740
W4394586120	USPN	Secure Communication in UAV–RIS-Empowered Multiuser Networks: Joint Beamforming, Phase Shift, and UAV Trajectory Optimization	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978745
W2806613708	USPN	Drone-Based Antenna Array for Service Time Minimization in Wireless Networks	no	https://hal.science/hal-01923666	SKIPPED	keep != yes	2026-03-29T13:44:23.978752
W2755319866	USPN	Bio-Inspired on Demand Routing Protocol for Unmanned Aerial Vehicles	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978757
W2808312638	USPN	Drones path planning for WSN data gathering: A column generation heuristic approach	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978762
W3013402202	USPN	An Energy-Efficient Collaborative Scheme for UAVs and VANETs for Dissemination of Real-Time Surveillance Data on Highways	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978871
W3131377498	USPN	UAVs-Based Mobile Radars for Real-Time Highways Surveillance	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978879
W2763989229	USPN	Age-specific olfactory attraction between Western honey bee drones (Apis mellifera) and its chemical basis	no	https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0185949&type=printable	SKIPPED	keep != yes	2026-03-29T13:44:23.978883
W2783718046	USPN	On collision-free reinforced barriers for multi domain IoT with heterogeneous UAVs	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978889
W2584802818	USPN	Unmanned Aerial Vehicles path planning for area monitoring	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978894
W4389041664	USPN	UAV-Assisted Mesh Network for Emergency Communication in Disaster Areas	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978898
W4317418805	USPN	PSO-OLSR: A Particle Swarm Optimization based Proactive Routing Protocol for UAV Networks	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978903
W2802449968	USPN	Multi-Channel Cognitive Radio Ad Hoc Networks	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978908
W2980267855	USPN	Energy-Efficient Associations for IoT networks with UAV	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978912
W3010443440	USPN	UAV for Energy-Efficient IoT Communications: Matching Game Approach	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978916
W3013709961	USPN	A Simple Proactive Routing Protocol with Multiple Base Stations Deployment for Unmanned Aerial Vehicular Networks	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978921
W2601988979	USPN	Parameter optimization for defeating blind interception in drone protection	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978926
W3180062496	USPN	A 3D MOBILITY MODEL IN FLYING AD HOC NETWORK FOR REAL-TIME EMERGENCY APPLICATIONS	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978931
W4213228891	USPN	GIIS 2020 TOC	no	https://ieeexplore.ieee.org/ielx7/9248477/9248478/09248491.pdf	SKIPPED	keep != yes	2026-03-29T13:44:23.978935
W7123358231	USPN	Energy Efficiency Maximization for Aerial Intelligent Reflecting Surface-Assisted MISO Systems	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978940
W7138841619	USPN	Secure QoE-Aware UAV-Aided Rate-Splitting Multiple Access-Based Communications	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978945
W2081259837	UDCLV	Robot-assisted and Laparoscopic Repair of Ureteropelvic Junction Obstruction: A Systematic Review and Meta-analysis	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978950
W3157127040	UDCLV	Robotic-assisted gait rehabilitation following stroke: a systematic review of current guidelines and practical clinical recommendations	no	https://hdl.handle.net/11568/1138168	SKIPPED	keep != yes	2026-03-29T13:44:23.978955
W2551526207	UDCLV	Mitochondria are Naturally Micro Robots - A review	no	http://thescipub.com/pdf/10.3844/ajeassp.2016.991.1002	SKIPPED	keep != yes	2026-03-29T13:44:23.978961
W2728624669	UDCLV	About Bell Helicopter FCX-001 Concept Aircraft-A Short Review	no	http://thescipub.com/pdf/10.3844/jastsp.2017.91.96	SKIPPED	keep != yes	2026-03-29T13:44:23.978966
W2767306434	UDCLV	Sustainable Energy for Aerospace Vessels	no	http://thescipub.com/pdf/10.3844/jastsp.2017.234.240	SKIPPED	keep != yes	2026-03-29T13:44:23.978971
W2915932616	UDCLV	Overview and Future Advanced Engineering Applications for Morphing Surfaces by Shape Memory Alloy Materials	no	https://www.mdpi.com/1996-1944/12/5/708/pdf?version=1551334602	SKIPPED	keep != yes	2026-03-29T13:44:23.978976
W2583708610	UDCLV	Wearable robotic exoskeleton for overground gait training in sub-acute and chronic hemiparetic stroke patients: preliminary results	no	http://hdl.handle.net/2434/702008	SKIPPED	keep != yes	2026-03-29T13:44:23.978981
W2117054049	UDCLV	Does robotic gait training improve balance in Parkinson's disease? A randomized controlled trial	no		SKIPPED	keep != yes	2026-03-29T13:44:23.978987
W2766872543	UDCLV	The Modern Flight	no	http://thescipub.com/pdf/10.3844/jastsp.2017.224.233	SKIPPED	keep != yes	2026-03-29T13:44:23.978992
W3026658219	UDCLV	The Role of Personality Factors and Empathy in the Acceptance and Performance of a Social Robot for Psychometric Evaluations	no	https://doi.org/10.3390/robotics9020039	SKIPPED	keep != yes	2026-03-29T13:44:23.978996
W2766141655	UDCLV	Innovation in endocrine surgery: robotic versus laparoscopic adrenalectomy. Meta-analysis and systematic literature review	no	http://www.oncotarget.com/index.php?journal=oncotarget&page=article&op=download&path%5B%5D=22059&path%5B%5D=69899	SKIPPED	keep != yes	2026-03-29T13:44:23.979002
W2559513061	UDCLV	Future Medicine Services Robotics	no	http://thescipub.com/pdf/10.3844/ajeassp.2016.1062.1087	SKIPPED	keep != yes	2026-03-29T13:44:23.979009
W3123004846	UDCLV	Systematic review of guidelines to identify recommendations for upper limb robotic rehabilitation after stroke	no	https://hdl.handle.net/2158/1401134	SKIPPED	keep != yes	2026-03-29T13:44:23.979015
W2775451959	UDCLV	Direct Geometry and Cinematic to the MP-3R Systems	no	http://thescipub.com/pdf/10.3844/jmrsp.2017.15.23	SKIPPED	keep != yes	2026-03-29T13:44:23.979021
W2620645378	UDCLV	Testing by Non-Destructive Control	no	http://thescipub.com/pdf/10.3844/ajeassp.2017.568.583	SKIPPED	keep != yes	2026-03-29T13:44:23.979025
W3165037781	UDCLV	State of the art and challenges for the classification of studies on electromechanical and robotic devices in neurorehabilitation: a scoping review	no	https://hdl.handle.net/11385/252459	SKIPPED	keep != yes	2026-03-29T13:44:23.979030
W2611954634	UDCLV	Inverse Kinematics at the Anthropomorphic Robots, by a Trigonometric Method	no	http://thescipub.com/pdf/10.3844/ajeassp.2017.394.411	SKIPPED	keep != yes	2026-03-29T13:44:23.979036
W2621453069	UDCLV	Dynamics of Mechanisms with Cams Illustrated in the Classical Distribution	no	http://thescipub.com/pdf/10.3844/ajeassp.2017.551.567	SKIPPED	keep != yes	2026-03-29T13:44:23.979041
W4391577198	UDCLV	Outcomes and Techniques of Robotic-Assisted Partial Nephrectomy (RAPN) for Renal Hilar Masses: A Comprehensive Systematic Review	no	https://www.mdpi.com/2072-6694/16/4/693/pdf?version=1707222979	SKIPPED	keep != yes	2026-03-29T13:44:23.979047
W3123095894	UDCLV	Analysis and Synthesis of Mechanisms with Bars and Gears Used in Robots and Manipulators	no	http://thescipub.com/pdf/10.3844/jmrsp.2017.98.108	SKIPPED	keep != yes	2026-03-29T13:44:23.979053
W2777432867	UDCLV	Speeds and Accelerations in Direct Kinematics to the MP3R Systems	no	http://thescipub.com/pdf/10.3844/jmrsp.2017.109.117	SKIPPED	keep != yes	2026-03-29T13:44:23.979058
W2884629542	UDCLV	Geometry and Determining the Positions of a Plan Transporter Manipulator	no	http://thescipub.com/pdf/10.3844/jmrsp.2017.118.126	SKIPPED	keep != yes	2026-03-29T13:44:23.979063
W3128790402	UDCLV	What is the impact of robotic rehabilitation on balance and gait outcomes in people with multiple sclerosis? A systematic review of randomized control trials	no	https://hdl.handle.net/11385/252478	SKIPPED	keep != yes	2026-03-29T13:44:23.979068
W4313585674	UDCLV	Balance Rehabilitation through Robot-Assisted Gait Training in Post-Stroke Patients: A Systematic Review and Meta-Analysis	no	https://doi.org/10.3390/brainsci13010092	SKIPPED	keep != yes	2026-03-29T13:44:23.979074
W2005770762	UDCLV	Linear Repetitive Learning Controls for Robotic Manipulators by Padé Approximants	no		SKIPPED	keep != yes	2026-03-29T13:44:23.979079
W2767701399	UDCLV	Forces of a 3R Robot	no	http://thescipub.com/pdf/10.3844/jmrsp.2017.1.14	SKIPPED	keep != yes	2026-03-29T13:44:23.979084
W2783878493	UDCLV	Nasa Selects Concepts for a New Mission to Titan, the Moon of Saturn	no	http://thescipub.com/pdf/10.3844/jastsp.2018.40.52	SKIPPED	keep != yes	2026-03-29T13:44:23.979089
W2771167314	UDCLV	Geometry and Direct Kinematics to MP3R with 4×4 Operators	no	http://thescipub.com/pdf/10.3844/jmrsp.2017.38.46	SKIPPED	keep != yes	2026-03-29T13:44:23.979094
W2777583634	UDCLV	Dynamic Elements at MP3R	no	http://thescipub.com/pdf/10.3844/jmrsp.2017.24.37	SKIPPED	keep != yes	2026-03-29T13:44:23.979099
W2779088931	UDCLV	Serial, Anthropomorphic, Spatial, Mechatronic Systems can be Studied More Simply in a Plan	no	http://thescipub.com/pdf/10.3844/jmrsp.2017.88.97	SKIPPED	keep != yes	2026-03-29T13:44:23.979127
W2792736914	UDCLV	Inverse Kinematics of a Stewart Platform	no	http://thescipub.com/pdf/10.3844/jmrsp.2018.45.59	SKIPPED	keep != yes	2026-03-29T13:44:23.979134
W3092381853	UDCLV	“Don’t Get Distracted!”: The Role of Social Robots’ Interaction Style on Users’ Cognitive Performance, Acceptance, and Non-Compliant Behavior	no	https://link.springer.com/content/pdf/10.1007/s12369-020-00702-4.pdf	SKIPPED	keep != yes	2026-03-29T13:44:23.979139
W3201375610	UDCLV	What does evidence tell us about the use of gait robotic devices in patients with multiple sclerosis? A comprehensive systematic review on functional outcomes and clinical recommendations	no	https://hdl.handle.net/11568/1138157	SKIPPED	keep != yes	2026-03-29T13:44:23.979146
W2781225876	UDCLV	The Inverse Kinematics of the Plane System 2-3 in a Mechatronic MP2R System, by a Trigonometric Method	no	http://thescipub.com/pdf/10.3844/jmrsp.2017.75.87	SKIPPED	keep != yes	2026-03-29T13:44:23.979153
