openalex_id	university	title	keep	pdf_url	status	detail
W3127380775	USPN	Ultraviolet disinfection robots to improve hospital cleaning: Real promise or just a gimmick?	no	https://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-020-00878-4	SKIPPED	keep != yes
W2773314373	USPN	Anatomical variations and pitfalls to know during thoracoscopic segmentectomies	no	https://jtd.amegroups.com/article/viewFile/17792/pdf	SKIPPED	keep != yes
W4285409253	USPN	Intelligent Aerial-Ground Surveillance and Epidemic Prevention with Discriminative Public and Private Services	no		SKIPPED	keep != yes
W3072201153	USPN	Behavioural variability among captive African elephants in the use of the trunk while feeding	no	https://peerj.com/articles/9678.pdf	SKIPPED	keep != yes
W4386957833	USPN	Upright patient positioning for gantry-free breast radiotherapy: feasibility tests using a robotic chair and specialised bras	no	https://www.frontiersin.org/articles/10.3389/fonc.2023.1250678/pdf?isPublishedV2=False	SKIPPED	keep != yes
W4315703142	USPN	Objective quality assessment of medical images and videos: review and challenges	no	https://link.springer.com/content/pdf/10.1007/s11042-024-20292-x.pdf	SKIPPED	keep != yes
W2819134329	USPN	Détection automatique, description linguistique et suivi des néologismes en corpus : point d'étape sur les tendances du français contemporain	no	https://www.shs-conferences.org/articles/shsconf/pdf/2018/07/shsconf_cmlf2018_08002.pdf	SKIPPED	keep != yes
W4210619689	USPN	Building Squares with Optimal State Complexity in Restricted Active Self-Assembly	no	https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.SAND.2022.6	SKIPPED	keep != yes
W3205300795	USPN	Switching models and control of Petri Nets with shared resources under marking constraints	no		SKIPPED	keep != yes
W4391113119	USPN	Reconfigurable UAV-aided 3D sustainable surveillance in classified air-spaces	no		SKIPPED	keep != yes
W4391957300	USPN	High-Throughput Bacteriophage Testing with Potency Determination: Validation of an Automated Pipetting and Phage Drop-Off Method	no	https://www.mdpi.com/2227-9059/12/2/466/pdf?version=1708425987	SKIPPED	keep != yes
W4233699585	USPN	Thoracic surgery in France	no	https://jtd.amegroups.com/article/viewFile/62552/pdf	SKIPPED	keep != yes
W2901411806	USPN	Motorized scope positioner for solo thoracoscopic surgery	no	https://doi.org/10.21037/vats.2018.11.01	SKIPPED	keep != yes
W2148884131	USPN	Corpus issus du Web : constitution et analyse informationnelle	no	http://www.erudit.org/fr/revues/rql/2003-v32-n1-rql1022/012246ar.pdf	SKIPPED	keep != yes
W2921553744	USPN	Intelligence artificielle et décisions juridictionnelles	no		SKIPPED	keep != yes
W4390734011	USPN	Offline and online energy-efficient monitoring of scattered uncertain logs using a bounding model	no	https://lmcs.episciences.org/12859/pdf	SKIPPED	keep != yes
W4401974962	USPN	Application of the Finite Element Method (FEM) to Analyze the Mechanical Behavior of Piezoelectric Materials When an Electric Field Is Applied to a Piezoelectric Structure (Inverse Piezoelectricity)	no	https://www.mdpi.com/2673-4591/67/1/13/pdf?version=1724125382	SKIPPED	keep != yes
W3138944983	USPN	A Distributed Anticipatory Life- Enhancing Recovery Approach for Unmanned Aerial Vehicular Networks	no	https://hal.science/hal-04018743/document	SKIPPED	keep != yes
W4282968959	USPN	Human Head and Neck Kinematics during Autonomous and Human Braking in Three Initial Head Positions	no	http://hdl.handle.net/10985/22176	SKIPPED	keep != yes
W4380318821	USPN	MoULDyS: Monitoring of autonomous systems in the presence of uncertainties	no	https://arxiv.org/pdf/2407.17201	SKIPPED	keep != yes
W2096267795	USPN	Could interactions beetween puppies, Canis familiaris, and a dog-robot (aibo, sony©) during a short meeting predict further interactions between these dogs and conspecifics?	no		SKIPPED	keep != yes
W2354136305	USPN	A Concept of Dynamically Reconfigurable Real-time Vision System for Autonomous Mobile Robotics	no		SKIPPED	keep != yes
W3110478162	USPN	Cancer de la prostate et chirurgie robot-assistée	no		SKIPPED	keep != yes
W3203761324	USPN	Equational Model Guided by Real-time Sensor Data to Monitor Industrial Robots	no		SKIPPED	keep != yes
W4225592307	USPN	Global Modernity from Coloniality to Pandemic	no		SKIPPED	keep != yes
W4402970233	USPN	Socially assistive robots for eldercare. Habilitating and prosthetic strategies in the emergence of innovation in long-term care facilities for older adults	no		SKIPPED	keep != yes
W4412374197	USPN	Distributed fault-tolerant control approach for discrete event systems using timed automata with guards: application to an electric power network	no	https://link.springer.com/content/pdf/10.1007/s40435-025-01704-8.pdf	SKIPPED	keep != yes
W4415251107	USPN	M3ET: Efficient Vision-Language Learning for Robotics based on Multimodal Mamba-Enhanced Transformer	no	https://arxiv.org/pdf/2509.18005	SKIPPED	keep != yes
W4416281270	USPN	A Human-Robot Interaction Platform for Intraoral Dental Scan	no	https://hal.science/hal-05304473/document	SKIPPED	keep != yes
W7130725734	USPN	M3ET: Efficient Vision-Language Learning for Robotics based on Multimodal Mamba-Enhanced Transformer	no		SKIPPED	keep != yes
W4412069885	USPN	Beyond the reverse product cycle: An exploration of the digital, social and spatial transformation of libraries	no	https://doi.org/10.1016/j.respol.2025.105297	SKIPPED	keep != yes
W2586027259	USPN	Controlling Actions and Time in Parametric Timed Automata	no		SKIPPED	keep != yes
