openalex_id	university	title	keep	pdf_url	status	detail
W2910890213	USPN	Explainable artificial intelligence for breast cancer: A visual case-based reasoning approach	yes	https://www.sciencedirect.com/science/article/am/pii/S0933365718304846?via%3Dihub	FAILED	HTTP 403, Content-Type: text/html; charset=UTF-8
W3210685454	USPN	Opportunities and Challenges for Professionals in Psychiatry and Mental Health Care Using Digital Technologies During the COVID-19 Pandemic: Systematic Review	yes	https://doi.org/10.2196/30359	FAILED	HTTP 200, Content-Type: text/html; charset=utf-8
W3081510761	USPN	Transparency of Health Informatics Processes as the Condition of Healthcare Professionals’ and Patients’ Trust and Adoption: the Rise of Ethical Requirements	yes	http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0040-1702029.pdf	OK	Downloaded: W3081510761.pdf
W2967002964	USPN	Artificial Intelligence in Health Informatics: Hype or Reality?	yes	http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0039-1677951.pdf	OK	Downloaded: W2967002964.pdf
W3157307907	USPN	Identification of non-validated endocrine disrupting chemical characterization methods by screening of the literature using artificial intelligence and by database exploration	yes	https://doi.org/10.1016/j.envint.2021.106574	FAILED	HTTP 200, Content-Type: text/html;charset=UTF-8
W4393950419	USPN	Collaborative and privacy-enhancing workflows on a clinical data warehouse: an example developing natural language processing pipelines to detect medical conditions	yes	https://academic.oup.com/jamia/advance-article-pdf/doi/10.1093/jamia/ocae069/57159967/ocae069.pdf	FAILED	HTTP 403, Content-Type: text/html; charset=UTF-8
W4376126986	USPN	A novel one-vs-rest consensus learning method for crash severity prediction	yes	https://doi.org/10.1016/j.eswa.2023.120443	FAILED	HTTP 504, Content-Type: text/html
W4311282072	USPN	Inclusive Digital Health	yes	http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0042-1742540.pdf	OK	Downloaded: W4311282072.pdf
W3211238343	USPN	Human Activity Recognition: A Dynamic Inductive Bias Selection Perspective	yes	https://www.mdpi.com/1424-8220/21/21/7278/pdf?version=1636092895	FAILED	HTTP 403, Content-Type: text/html
W3080524808	USPN	Clinical Research Informatics	yes	http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0040-1702007.pdf	OK	Downloaded: W3080524808.pdf
W4403048071	USPN	Algorithmovigilance, lessons from pharmacovigilance	yes	https://www.nature.com/articles/s41746-024-01237-y.pdf	OK	Downloaded: W4403048071.pdf
W2889142411	USPN	As Ontologies Reach Maturity, Artificial Intelligence Starts Being Fully Efficient: Findings from the Section on Knowledge Representation and Management for the Yearbook 2018	yes	http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0038-1667078.pdf	OK	Downloaded: W2889142411.pdf
W3110781278	USPN	Artificial intelligence (AI) in breast cancer care - Leveraging multidisciplinary skills to improve care	yes	http://www.thebreastonline.com/article/S0960977620302186/pdf	FAILED	HTTP 403, Content-Type: text/html; charset=UTF-8
W4283716294	USPN	Ethical Issues in the Utilization of Black Boxes for Artificial Intelligence in Medicine	yes	https://ebooks.iospress.nl/pdf/doi/10.3233/SHTI220709	FAILED	HTTP 200, Content-Type: text/html; charset=utf-8
W4401823964	USPN	Causal Deep Learning for the Detection of Adverse Drug Reactions: Drug-Induced Acute Kidney Injury as a Case Study	yes	https://ebooks.iospress.nl/pdf/doi/10.3233/SHTI240533	FAILED	HTTP 200, Content-Type: text/html; charset=utf-8
W2968813116	USPN	Clinical Research Informatics: Contributions from 2018	yes	http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0039-1677921.pdf	OK	Downloaded: W2968813116.pdf
W4387456745	USPN	Unsupervised physics-informed neural network in reaction-diffusion biology models (Ulcerative colitis and Crohn’s disease cases) A preliminary study	yes	https://www.researchsquare.com/article/rs-3405428/latest.pdf	OK	Downloaded: W4387456745.pdf
W4409459278	USPN	Implementing ethical principles in AI: an initial discussion	yes	https://link.springer.com/content/pdf/10.1007/s43681-025-00710-y.pdf	OK	Downloaded: W4409459278.pdf
W4412980675	USPN	Artificial intelligence and infectious diseases: Scope and perspectives	yes	https://doi.org/10.1016/j.idnow.2025.105131	FAILED	HTTP 200, Content-Type: text/html;charset=UTF-8
W4401822498	USPN	Exploring Explainable AI Techniques for Text Classification in Healthcare: A Scoping Review	yes	https://ebooks.iospress.nl/pdf/doi/10.3233/SHTI240544	FAILED	HTTP 200, Content-Type: text/html; charset=utf-8
W4413293768	USPN	Limited impact of real-world evidence in medical oncology: How can AI turn the tide	yes	https://doi.org/10.1016/j.ejca.2025.115714	FAILED	HTTP 200, Content-Type: text/html;charset=UTF-8
W3092395537	USPN	Use of artificial intelligence to estimate population health indicators in France	yes	https://academic.oup.com/eurpub/article-pdf/30/Supplement_5/ckaa165.267/33819117/ckaa165.267.pdf	FAILED	HTTP 403, Content-Type: text/html; charset=UTF-8
W4213288261	USPN	Users’ Reactions on Announced Vaccines against COVID-19 Before Marketing in France: Analysis of Twitter posts	yes	https://www.medrxiv.org/content/medrxiv/early/2022/02/15/2022.02.14.22268832.full.pdf	OK	Downloaded: W4213288261.pdf
W4281486759	USPN	Machine Learning in Medicine: To Explain, or Not to Explain, That Is the Question	yes	https://ebooks.iospress.nl/pdf/doi/10.3233/SHTI220407	FAILED	HTTP 200, Content-Type: text/html; charset=utf-8
W4401822534	USPN	Evaluation of Machine Learning Algorithms for Pressure Injury Risk Assessment in a Hospital with Limited IT Resources	yes	https://ebooks.iospress.nl/pdf/doi/10.3233/SHTI240587	FAILED	HTTP 200, Content-Type: text/html; charset=utf-8
W4386594795	USPN	Collaborative and privacy-preserving workflows on a clinical data warehouse: an example developing natural language processing pipelines to detect medical conditions	yes	https://www.medrxiv.org/content/medrxiv/early/2023/09/11/2023.09.11.23295069.full.pdf	OK	Downloaded: W4386594795.pdf
W4210687963	USPN	Opportunities and Challenges for Professionals in Psychiatry and Mental Health Care Using Digital Technologies During the COVID-19 Pandemic: Systematic Review (Preprint)	yes	https://doi.org/10.2196/preprints.30359	FAILED	HTTP 200, Content-Type: text/html; charset=utf-8
W4409364251	USPN	Linking Industry Sectors and Financial Statements: A Hybrid Approach for Company Classification	yes	https://ojs.aaai.org/index.php/AAAI/article/download/33806/35961	OK	Downloaded: W4409364251.pdf
W4414494722	USPN	Factors influencing the trustworthiness of non-randomized studies of interventions: a survey of international experts	yes	https://www.medrxiv.org/content/medrxiv/early/2025/09/25/2025.09.24.25336459.full.pdf	OK	Downloaded: W4414494722.pdf
W4416930780	USPN	Uncovering Key Service Improvement Areas in Digital Finance: A Topic Modeling Approach Using LDA on User Reviews	yes	https://jdmdc.com/index.php/JDMDC/article/download/47/36	OK	Downloaded: W4416930780.pdf
W7131130946	USPN	Regards croisés sur l’état des lieux de l’utilisation des technologies dans le rugby féminin et masculin élite en France	yes	https://doi.org/10.1016/j.jts.2026.01.002	FAILED	HTTP 200, Content-Type: text/html;charset=UTF-8
W7134911876	USPN	Explainable Profiling of Sleep Disorders to Support Trustworthy Clinical Interventions	yes		NO_URL	No PDF URL available in CSV or OpenAlex metadata
W4391471942	USPN	Dynamic Spatial–Spectral Feature Optimization-Based Point Cloud Classification	yes	https://www.mdpi.com/2072-4292/16/3/575/pdf?version=1706867253	FAILED	HTTP 403, Content-Type: text/html
W4283790509	USPN	Clustering Approach to Solve Hierarchical Classification Problem Complexity	yes	https://ojs.aaai.org/index.php/AAAI/article/download/20760/20519	OK	Downloaded: W4283790509.pdf
W4386887825	USPN	Evidence of a causal and modifiable relationship between kidney function and circulating trimethylamine N-oxide	yes	https://www.nature.com/articles/s41467-023-39824-4.pdf	OK	Downloaded: W4386887825.pdf
