keep,university,openalex_id,doi,title,authors,affiliations,publication_year,cited_by_count,is_open_access,pdf_url,source,language,abstract,collected_on
yes,USPN,W2997578645,https://doi.org/10.1016/j.csbj.2019.12.006,Machine learning applications in drug development,Clémence Réda; Emilie Kaufmann; Andrée Delahaye‐Duriez,"Centre de Recherche en Informatique, Signal et Automatique de Lille; Université Sorbonne Paris Nord; Assistance Publique – Hôpitaux de Paris; Hôpital Jean-Verdier; Université Paris Cité; Sorbonne Paris Cité; Hôpital Robert-Debré; Université de Lille; Délégation Paris 7; Inserm; Afterschool Alliance; Centre de Recherche en Informatique; NeuroDiderot; Centre National de la Recherche Scientifique; École Centrale de Lille",2019,224,True,https://www.sciencedirect.com/science/article/am/pii/S2001037019303988?via%3Dihub,Computational and Structural Biotechnology Journal,en,"Due to the huge amount of biological and medical data available today, along with well-established machine learning algorithms, the design of largely automated drug development pipelines can now be envisioned. These pipelines may guide, or speed up, drug discovery; provide a better understanding of diseases and associated biological phenomena; help planning preclinical wet-lab experiments, and even future clinical trials. This automation of the drug development process might be key to the current issue of low productivity rate that pharmaceutical companies currently face. In this survey, we will particularly focus on two classes of methods: sequential learning and recommender systems, which are active biomedical fields of research.",2026-03-29
no,USPN,W3127380775,https://doi.org/10.1186/s13756-020-00878-4,Ultraviolet disinfection robots to improve hospital cleaning: Real promise or just a gimmick?,Magda Diab-El Schahawi; Walter Zingg; Martine De Vos; H. Humphreys; Lorena López‐Cerero; Astrid Fueszl; Jean Ralph Zahar; Elisabeth Presterl,Université Sorbonne Paris Nord; Université Sorbonne Nouvelle; Erasmus MC; University Hospital of Zurich; Hôpital Avicenne; Royal College of Surgeons in Ireland; Beaumont Hospital; Hospital Universitario Virgen Macarena; Medical University of Vienna,2021,70,True,https://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-020-00878-4,Antimicrobial Resistance and Infection Control,en,"The global COVID-19 pandemic due to the novel coronavirus SARS-CoV-2 has challenged the availability of traditional surface disinfectants. It has also stimulated the production of ultraviolet-disinfection robots by companies and institutions. These robots are increasingly advocated as a simple solution for the immediate disinfection of rooms and spaces of all surfaces in one process and as such they seem attractive to hospital management, also because of automation and apparent cost savings by reducing cleaning staff. Yet, there true potential in the hospital setting needs to be carefully evaluated. Presently, disinfection robots do not replace routine (manual) cleaning but may complement it. Further design adjustments of hospitals and devices are needed to overcome the issue of shadowing and free the movement of robots in the hospital environment. They might in the future provide validated, reproducible and documented disinfection processes. Further technical developments and clinical trials in a variety of hospitals are warranted to overcome the current limitations and to find ways to integrate this novel technology in to the hospitals of to-day and the future.",2026-03-29
yes,USPN,W2793307691,https://doi.org/10.3390/s18061858,Automatic Detection and Classification of Audio Events for Road Surveillance Applications,Noor Almaadeed; Muhammad Asim; Somaya Al-Máadeed; Ahmed Bouridane; Azeddine Beghdadi,Université Sorbonne Paris Nord; Northumbria University; Université Paris Cité; Sorbonne Paris Cité; Qatar University,2018,64,True,https://www.mdpi.com/1424-8220/18/6/1858/pdf?version=1528291952,Sensors,en,"This work investigates the problem of detecting hazardous events on roads by designing an audio surveillance system that automatically detects perilous situations such as car crashes and tire skidding. In recent years, research has shown several visual surveillance systems that have been proposed for road monitoring to detect accidents with an aim to improve safety procedures in emergency cases. However, the visual information alone cannot detect certain events such as car crashes and tire skidding, especially under adverse and visually cluttered weather conditions such as snowfall, rain, and fog. Consequently, the incorporation of microphones and audio event detectors based on audio processing can significantly enhance the detection accuracy of such surveillance systems. This paper proposes to combine time-domain, frequency-domain, and joint time-frequency features extracted from a class of quadratic time-frequency distributions (QTFDs) to detect events on roads through audio analysis and processing. Experiments were carried out using a publicly available dataset. The experimental results conform the effectiveness of the proposed approach for detecting hazardous events on roads as demonstrated by 7% improvement of accuracy rate when compared against methods that use individual temporal and spectral features.",2026-03-29
no,USPN,W2773314373,https://doi.org/10.21037/jtd.2017.11.87,Anatomical variations and pitfalls to know during thoracoscopic segmentectomies,Dominique Gossot; Agathe Seguin‐Givelet,Université Sorbonne Paris Nord; Institute Mutualiste Montsouris; Université Paris Cité; Sorbonne Paris Cité; Délégation Paris 6,2018,38,True,https://jtd.amegroups.com/article/viewFile/17792/pdf,Journal of Thoracic Disease,en,"The rate of sublobar resection (SLR) for early-stage non-small cell lung carcinoma (NSCLC) is increasing, mainly because of a growing rate of early-stage lung carcinomas and ground-glass opacities. More and more SLRs are now performed by a thoracoscopic, a video-assisted or a robotically-assisted approach. Although surgeons are performing pulmonary segmentectomies for years, they need a better understanding of anatomy when using a closed chest approach, because vision is more limited and they cannot stretch and expose the parenchyma and broncho-vascular elements. In this article, we will describe most of the significant anatomical variations we have encountered during a consecutive series of 390 full thoracoscopic segmentectomies, either at surgery or preoperatively by studying the 3-dimensional (3D) modelisation.",2026-03-29
no,USPN,W4285409253,https://doi.org/10.1109/mnet.002.2100510,Intelligent Aerial-Ground Surveillance and Epidemic Prevention with Discriminative Public and Private Services,Hyunbum Kim; Jalel Ben‐Othman; Kwang‐il Hwang; B.J. Choi,Université Sorbonne Paris Nord; Sorbonne Université; Laboratoire des signaux et systèmes; Université Paris-Saclay; Incheon National University; Zayed University,2022,32,False,,IEEE Network,en,"Since complete surveillance is essential to provide safe daily life to citizen in smart cities, the issue of how to achieve secure surveillance has been driven by various research communities. Also, due to recent epidemic spread such as COVID-19, it is obvious that we should focus on how to manage a cooperative framework for possible future pandemic fights and allied medical services continuously. To support those purposes, it is anticipated that we can utilize AI-assisted communications and technologies using a variety of devices and equipment, including UAVs, mobile robots, and smart devices on the aerial and ground sides. In this article, an aerial-ground cooperative infrastructure is designed to study surveillance and epidemic prevention with managing energy recharge and AI-supported communications through collected or pre-knowledge information for public and private areas. Also, in the proposed architecture, we specify system settings, promising scenarios, and strategies in order to satisfy several objectives and tasks. Then possible research challenges and issues are addressed for successful realization and management of intelligent surveillance and efficient epidemic prevention.",2026-03-29
yes,USPN,W4290830325,https://doi.org/10.3233/jpd-223445,Video-Based Automated Assessment of Movement Parameters Consistent with MDS-UPDRS III in Parkinson’s Disease,Gaëtan Vignoud; Clément Desjardins; Quentin Salardaine; M Mongin; Béatrice Garcin; Laurent Venance; Bertrand Degos,Université Sorbonne Paris Nord; Assistance Publique – Hôpitaux de Paris; Université Paris Sciences et Lettres; Institut national de recherche en sciences et technologies du numérique; Collège de France; Hôpital Avicenne; Inserm; Centre National de la Recherche Scientifique; Centre Interdisciplinaire de Recherche en Biologie,2022,31,True,https://content.iospress.com:443/download/journal-of-parkinsons-disease/jpd223445?id=journal-of-parkinsons-disease%2Fjpd223445,Journal of Parkinson s Disease,en,We developed a deep learning-based tool to precisely analyze movement parameters allowing to reliably score bradykinesia for parkinsonian patients in a MDS-UPDRS manner.,2026-03-29
yes,USPN,W2017668106,https://doi.org/10.1017/s0960129501003413,"The classical AI planning problems in the mirror of Horn linear logic: semantics, expressibility, complexity",Max Kanovich; Jacqueline Vauzeilles,Université Sorbonne Paris Nord; Laboratoire d'Informatique de Paris-Nord; Centre National de la Recherche Scientifique; Russian State University for the Humanities,2001,26,False,,Mathematical Structures in Computer Science,en,"We introduce Horn linear logic as a comprehensive logical system capable of handling the typical AI problem of making a plan of the actions to be performed by a robot so that he could get into a set of final situations, if he started with a certain initial situation. Contrary to undecidability of propositional Horn linear logic, the planning problem is proved to be decidable for a reasonably wide class of natural robot systems. The planning problem is proved to be EXPTIME -complete for the robot systems that allow actions with non-deterministic effects. Fixing a finite signature, that is a finite set of predicates and their finite domains, we get a polynomial time procedure of making plans for the robot system over this signature. The planning complexity is reduced to PSPACE for the robot systems with only pure deterministic actions. As honest numerical parameters in our algorithms we invoke the length of description of a planning task ‘from W to Z˜ ’ and the Kolmogorov descriptive complexity of Ax T , a set of possible actions.",2026-03-29
yes,USPN,W4312311432,https://doi.org/10.1109/access.2022.3220241,Completing Scientific Facts in Knowledge Graphs of Research Concepts,Agustín Borrego; Danilo Dessı̀; Inma Hernández; Francesco Osborne; Diego Reforgiato Recupero; David Ruiz; Davide Buscaldi; Enrico Motta,Université Sorbonne Paris Nord; The Open University; University of Milano-Bicocca; Laboratoire d'Informatique de Paris-Nord; Universidad de Sevilla; Centre National de la Recherche Scientifique; University of Cagliari,2022,16,True,https://ieeexplore.ieee.org/ielx7/6287639/6514899/09940925.pdf,IEEE Access,en,"In the last few years, we have witnessed the emergence of several knowledge graphs that explicitly describe research knowledge with the aim of enabling intelligent systems for supporting and accelerating the scientific process. These resources typically characterize a set of entities in this space (e.g., tasks, methods, evaluation techniques, proteins, chemicals), their relations, and the relevant actors (e.g., researchers, organizations) and documents (e.g., articles, books). However, they are usually very partial representations of the actual research knowledge and may miss several relevant facts. In this paper, we introduce SciCheck, a new triple classification approach for completing scientific statements in knowledge graphs. SciCheck was evaluated against nine alternative approaches on seven benchmarks, yielding excellent results. Finally, we provide a real-world use case and applied SciCheck to the Artificial Intelligence Knowledge Graph (AI-KG), a large-scale automatically-generated open knowledge graph including 1.2M statements extracted from the 333K most cited articles in the field of Artificial Intelligence, and generated a new version of this knowledge graph with 300K additional triples.",2026-03-29
no,USPN,W3072201153,https://doi.org/10.7717/peerj.9678,Behavioural variability among captive African elephants in the use of the trunk while feeding,Maëlle Lefeuvre; Patrick Gouat; Baptiste Mulot; Raphaël Cornette; Emmanuelle Pouydebat,"Université Sorbonne Paris Nord; Association pour l'Utilisation du Rein Artificiel dans la région Lyonnaise; Laboratoire d’Ethologie Expérimentale et Comparée; Sorbonne Université; Mécanismes Adaptatifs et Evolution; Centre Hospitalier de Beauvais; Jagiellonian University; Institut de Systématique, Évolution, Biodiversité; Centre National de la Recherche Scientifique",2020,16,True,https://peerj.com/articles/9678.pdf,PeerJ,en,"The Proboscideans, an order of mammals including elephants, are the largest of the Earth lands animals. One probable consequence of the rapid increase of their body size is the development of the trunk, a multitask highly sensitive organ used in a large repertoire of behaviours. The absence of bones in the trunk allows a substantial degree of freedom for movement in all directions, and this ability could underlie individual-level strategies. We hypothesised a stronger behavioural variability in simple tasks, and a correlation between the employed behaviours and the shape and size of the food. The observations of a captive group of African elephants allowed us to create a complete catalogue of trunk movements in feeding activities. We noted manipulative strategies and impact of food item properties on the performed behaviours. The results show that a given item is manipulated with a small panel of behaviours, and some behaviours are specific to a single shape of items. The study of the five main feeding behaviours emphasises a significant variability between the elephants. Each individual differed from every other individual in the proportion of at least one behaviour, and every behaviour was performed in different proportions by the elephants. Our findings suggest that during their lives elephants develop individual strategies adapted to the manipulated items, which increases their feeding efficiency.",2026-03-29
yes,USPN,W3013207209,https://doi.org/10.3390/s20071939,Non-Linear Template-Based Approach for the Study of Locomotion,Tristan Dot; Flavien Quijoux; Laurent Oudre; Aliénor Vienne-Jumeau; Albane Moreau; Pierre‐Paul Vidal; Damien Ricard,Université Sorbonne Paris Nord; Sorbonne Université; Université Paris-Saclay; Université Paris Cité; HIA du Val-de-Grâce à Paris; Hôpital d'instruction des Armées Percy; Hangzhou Dianzi University; Centre National de la Recherche Scientifique; Service de Santé des Armées,2020,15,True,https://www.mdpi.com/1424-8220/20/7/1939/pdf?version=1585624658,Sensors,en,"The automatic detection of gait events (i.e., Initial Contact (IC) and Final Contact (FC)) is crucial for the characterisation of gait from Inertial Measurements Units. In this article, we present a method for detecting steps (i.e., IC and FC) from signals of gait sequences of individuals recorded with a gyrometer. The proposed approach combines the use of a dictionary of templates and a Dynamic Time Warping (DTW) measure of fit to retrieve these templates into input signals. Several strategies for choosing and learning the adequate templates from annotated data are also described. The method is tested on thirteen healthy subjects and compared to gold standard. Depending of the template choice, the proposed algorithm achieves average errors from 0.01 to 0.03 s for the detection of IC, FC and step duration. Results demonstrate that the use of DTW allows achieving these performances with only one single template. DTW is a convenient tool to perform pattern recognition on gait gyrometer signals. This study paves the way for new step detection methods: it shows that using one single template associated with non-linear deformations may be sufficient to model the gait of healthy subjects.",2026-03-29
