keep,university,openalex_id,doi,title,authors,affiliations,publication_year,cited_by_count,is_open_access,pdf_url,source,language,abstract
yes,USPN,W4409459278,https://doi.org/10.1007/s43681-025-00710-y,Implementing ethical principles in AI: an initial discussion,Mykhailo Danilevskyi; Fernando Pérez-Téllez; Davide Buscaldi,Université Sorbonne Paris Nord; Technological University Dublin; Sorbonne Université,2025,3,True,https://link.springer.com/content/pdf/10.1007/s43681-025-00710-y.pdf,AI and Ethics,en,"Abstract In recent years, there has been a lot of discussion around ethics in IT and AI. Many researchers and organisations have proposed guidelines to address privacy, fairness, and explainability challenges for creating trustworthy AI. In this paper, we discuss ethical principles in the context of AI and their significance in developing trustworthy AI solutions. We consider the problem of the categorisation of ethical principles in IT. We concentrate our discussion on privacy, fairness, and explainability. These principles, we believe, meaningfully contribute to the trust of AI systems. We overview the available privacy regulations in the EU and US. We also look at how to achieve compliance with them, including private data detection, data anonymisation techniques and toolkits. From a practical perspective, we analyse fairness and bias problems. We discuss the issue of fairness assessment and metrics. To improve the fairness of AI solutions, an enormous number of techniques have been developed. We also focus on fairness improvement techniques and a few popular toolkits in which these techniques are implemented. Explainability is another ethical principle discussed. It is one of many socially important properties, as it ensures understanding of AI system decision-making and transparency in inspection. Ensuring explainability is important for high-risk applications in healthcare, finance and criminal justice. Finally, we outline approaches that help in the level of explainability. With this review and analysis, we contribute to the knowledge of available techniques and toolkits that can be used by AI practitioners as an initial step in implementing ethical principles into AI solutions."
yes,UDCLV,W4393851454,https://doi.org/10.1007/s00415-024-12328-x,"ChatGPT vs. neurologists: a cross-sectional study investigating preference, satisfaction ratings and perceived empathy in responses among people living with multiple sclerosis","Elisabetta Maida; Marcello Moccia; Raffaele Palladino; Giovanna Borriello; Giuseppina Affinito; Marinella Clerico; Anna Maria Repice; Alessia Di Sapio; Rosa Iodice; Antonio Luca Spiezia; Maddalena Sparaco; Giuseppina Miele; Floriana Bile; Cristiano Scandurra; Diana Ferraro; Maria Laura Stromillo; Renato Docimo; Antonio Martino; Luca Mancinelli; Gianmarco Abbadessa; Krzysztof Smolik; Lorenzo Lorusso; Maurizio Leone; Elisa Leveraro; Francesca Di Lauro; Francesca Trojsi; Lidia Mislin Streito; Francesca Gabriele; Fabiana Marinelli; Antonio Ianniello; Federica De Santis; Matteo Foschi; Nicola De Stefano; Vincenzo Brescia Morra; Alvino Bisecco; Giancarlo Coghe; Eleonora Cocco; Michele Romoli; Francesco Corea; Letizia Leocani; Jessica Frau; Simona Sacco; Matilde Inglese; Antonio Carotenuto; Roberta Lanzillo; Alessandro Padovani; Maria Triassi; Simona Bonavita; Luigi Lavorgna; Digital Technologies, Web, Social Media Study Group of the Italian Society of Neurology (SIN)","University of Turin; University of Brescia; Sapienza University of Rome; University of Naples Federico II; Policlinico di Modena; University of Cagliari; Azienda Ospedaliero-Universitaria Careggi; Istituti di Ricovero e Cura a Carattere Scientifico; University of Genoa; University of L'Aquila; Azienda Socio Sanitaria Territoriale degli Spedali Civili di Brescia; Ospedale ""Santa Maria delle Croci"" di Ravenna; Federico II University Hospital; University of Campania ""Luigi Vanvitelli""; University of Siena; Azienda Unità Sanitaria Locale Della Romagna; Ospedale San Luigi Gonzaga; Imperial College London; Casa Sollievo della Sofferenza; University of Modena and Reggio Emilia; Ospedale Policlinico San Martino; Vita-Salute San Raffaele University; Magna Graecia University",2024,48,True,https://link.springer.com/content/pdf/10.1007/s00415-024-12328-x.pdf,Journal of Neurology,en,"ChatGPT-authored responses provided higher empathy than neurologists. Although AI holds potential, physicians should prepare to interact with increasingly digitized patients and guide them on responsible AI use. Future development should consider tailoring AIs' responses to individual characteristics. Within the progressive digitalization of the population, ChatGPT could emerge as a helpful support in healthcare management rather than an alternative."
yes,UMA,W4312553523,https://doi.org/10.1109/tetc.2022.3227113,Towards Trustworthy Autonomous Systems: Taxonomies and Future Perspectives,Francesco Flammini; Cristina Alcaraz; Emanuele Bellini; S. Marrone; Javier López; Andrea Bondavalli,"University of Campania ""Luigi Vanvitelli""; University of Florence; Roma Tre University; Universidad de Málaga; Innovation Engineering (Italy)",2022,32,True,https://flore.unifi.it/bitstream/2158/1303990/1/Towards_Trustworthy_Autonomous_Systems_Taxonomies_and_Future_Perspectives.pdf,IEEE Transactions on Emerging Topics in Computing,en,"The class of Trustworthy Autonomous Systems (TAS) includes cyber-physical systems leveraging on self-x technologies that make them capable to learn, adapt to changes, and reason under uncertainties in possibly critical applications and evolving environments. In the last decade, there has been a growing interest in enabling artificial intelligence technologies, such as advanced machine learning, new threats, such as adversarial attacks, and certification challenges, due to the lack of sufficient explainability. However, in order to be trustworthy, those systems also need to be dependable, secure, and resilient according to well-established taxonomies, methodologies, and tools. Therefore, several aspects need to be addressed for TAS, ranging from proper taxonomic classification to the identification of research opportunities and challenges. Given such a context, in this paper address relevant taxonomies and research perspectives in the field of TAS. We start from basic definitions and move towards future perspectives, regulations, and emerging technologies supporting development and operation of TAS."
yes,KK,W4400460850,https://doi.org/10.59476/ilpmt2024.100-106,Criteria for selecting artificial intelligence tools,Lina Šarlauskienė; Samanta Dagytė,Kaunas kolegija Higher Education Institution,2024,4,True,https://doi.org/10.59476/ilpmt2024.100-106,Innovations in Publishing Printing and Multimedia Technologies,en,"Artificial Intelligence (AI) represents a transformative force across numerous sectors, from healthcare and finance to automotive and public services. The selection and deployment of AI tools are critical to leveraging this technology’s potential while adhering to ethical standards, regulatory compliance, and ensuring societal benefit. The European Union (EU) has been at the forefront of establishing frameworks and criteria to guide the development, deployment, and selection of AI systems to foster innovation while protecting citizens’ rights and societal values. The EU’s proactive stance in establishing these criteria aims to balance innovation with ethical considerations and societal welfare, setting a benchmark for responsible AI development and deployment globally. The aim of the article is to present general criteria for the selection of artificial intelligence tools, as well as those specific to the field of publishing. The research was carried out based on the analysis of scientific and other sources. The results of the study can be useful for organizations and individuals that must be interested in selecting and using the right AI tools."
yes,UT,W4405160333,https://doi.org/10.1016/j.stress.2024.100704,Integrative approaches to enhance reproductive resilience of crops for climate-proof agriculture,Collins Agho; Adi Avni; Ariola Bacu; Ayat Bakery; Salma Balazadeh; Faheem Shehzad Baloch; Christos Bazakos; Nataša Čereković; Palak Chaturvedi; Harsh Chauhan; Ive De Smet; Thomas Dresselhaus; Liliana J. Ferreira; Jan Fíla; Ana Margarida Fortes; Vasileios Fotopoulos; Silvana Francesca; Pascual García-Pérez; Wen Gong; Salvatore Graci,"Cyprus University of Technology; University of Tirana; University of Banja Luka; Indian Institute of Technology Roorkee; Czech Academy of Sciences, Institute of Experimental Botany; University of Lisbon; Tel Aviv University; University of Vienna; Department of Agricultural Sciences; Goethe University Frankfurt; University of Applied Sciences Leiden; VIB-UGent Center for Plant Systems Biology; Leiden University; University of Medicine Tirana; Estonian University of Life Sciences; Hellenic Telecommunications Organization (Greece); Instituto de Biologia Experimental e Tecnológica; Università Cattolica del Sacro Cuore; Universidade Nova de Lisboa; University of Regensburg; Mersin Üniversitesi",2024,30,True,https://doi.org/10.1016/j.stress.2024.100704,Plant Stress,en,"• Enhancing reproductive resilience to stress is vital for food security. • Modern breeding and genomics speed up stress-tolerant crop development. • Agronomic practices and advanced tech support yields in extreme climates. • Big data, AI, and omics enable integrative analyses for resilient crops. • Integrative Agriculture is a holistic approach for climate-proofing crops. Worldwide agricultural systems are threatened by rising temperatures, extreme weather events, and shifting climate zones. Climate change-driven failure in sexual reproduction is a major cause for yield reduction in horticultural and grain crops. Consequently, understanding how climate change affects reproductive processes in crops is crucial for global food security and prosperity. The development of climate-proof crops, including maize, wheat, barley, rice, and tomato, requires new genetic material and novel management practices to ensure high productivity under less favorable conditions. Safeguarding successful plant reproduction is challenging due to the complex nature of this biological process, and therefore, a multifaceted approach is the key to success. In this review, we provide an overview of the processes underlying plant reproduction and how they are affected by different abiotic stresses related to climate change. We discuss how genetics, advanced breeding technologies, biotechnological innovations, and sustainable agronomic practices can collectively contribute to the development of resilient crop varieties. We also highlight the potential of artificial intelligence (AI) in optimizing breeding strategies, predicting climate impacts, and improving crop management practices to enhance reproductive resilience and ensure food security. Lastly, we discuss the vision of a new era in agriculture where diverse actors and stakeholders cooperate to create climate-proof crops."
yes,THWS,W3205696641,https://doi.org/10.14428/esann/2021.es2021-4,"Federated Learning - Methods, Applications and beyond",Moritz Heusinger; Christoph Raab; Fabrice Rossi; Frank-Michael Schleif,Technical University of Applied Sciences Würzburg-Schweinfurt; University of Würzburg; Centre de Recherche en Mathématiques de la Décision; Université Paris Dauphine-PSL,2021,8,True,https://doi.org/10.14428/esann/2021.es2021-4,ESANN 2021 proceedings,en,"In recent years the applications of machine learning models have increased rapidly, due to the large amount of available data and technological progress. While some domains like web analysis can benefit from this with only minor restrictions, other fields like medicine with patient data are stronger regulated. In particular data privacy plays an important role as recently highlighted by the trustworthy AI initiative of the EU or general privacy regulations in legislation. Another major challenge is, that the required training data is often distributed in terms of features or samples and unavailable for classical batch learning approaches. In 2016 Google came up with a framework, called Federated Learning to solve both of these problems. We provide a brief overview on existing Methods and Applications in the field of vertical and horizontal Federated Learning, as well as Federated Transfer Learning."
yes,TAMK,W4417109773,https://doi.org/10.1007/s42454-025-00085-9,Securing local LLMs for academic research: a human-system integration analysis and evolution of TAUCHI-GPT,Ahmed Farooq; Devbrat Anuragi; Zhenxing Li; Mounia Ziat; Jeremy R. Cooperstock; Roope Raisamo,Tampere University of Applied Sciences; Tampere University; Intelligent Machines (Sweden); Bentley University,2025,0,True,https://link.springer.com/content/pdf/10.1007/s42454-025-00085-9.pdf,Human-Intelligent Systems Integration,en,"Abstract The application of Large Language Models (LLMs) in academic research faces unique challenges of privacy and workflow integration. This paper introduces TAUCHI-GPT, a novel, open-source AI assistant whose evolution informs our analysis. We detail its two versions: a cloud-based V1 using GPT-4 and reflection cycles, and a local, privacy-preserving V2 with RAG architecture. Based on empirical findings from two user studies, we present a critical Human-System Integration (HSI) analysis of the security vulnerabilities and alignment challenges inherent in local LLM deployments. We examine how recent development trends—such as model distillation and reward-model learning—and the complexities of internal model mechanisms exacerbate risks like prompt injection, RAG data failures, and unfaithful explanations that impact user trust. Drawing from HCI principles and mechanistic interpretability insights, we propose and discuss a multi-layered mitigation strategy. This work contributes significantly to HSI and AI by presenting an evaluated system, a rigorous analysis of local deployment risks from a sociotechnical perspective, and actionable, stakeholder-specific guidelines for the secure and responsible utilization of LLMs in academia."
yes,THUAS,W7105883480,https://doi.org/10.5281/zenodo.17631321,Creating AI Personas for Educational Settings: A Prepared4ed Approach,"Verkuilen, A.",The Hague University of Applied Sciences,2025,0,True,https://doi.org/10.5281/zenodo.17631321,Zenodo (CERN European Organization for Nuclear Research),en,"This hands-on workshop equips engineering educators with practical skills to design and implement AI personas that enhance teaching and learning experiences. Using the evidence-informed PREPARED4ED framework, participants will learn to craft effective prompts that align AI capabilities with sound pedagogical principles. Through live demonstrations and guided exercises, participants will experience how AI personas can support diverse educational goals—from guiding students through complex problem-solving to providing personalized feedback while maintaining academic integrity. Working in collaborative groups, attendees will create and test their own AI personas, iteratively refining them to address specific educational challenges. The workshop emphasizes responsible AI integration that augments rather than replaces critical thinking, ensuring that technology enhances rather than diminishes authentic learning. Participants will leave with working prototypes, practical implementation strategies, and a deeper understanding of how AI can be ethically leveraged to transform engineering education. This workshop offers valuable insights for all educators, regardless of prior AI experience, who seek to responsibly incorporate generative AI into their teaching practice."
yes,USPN,W3081510761,https://doi.org/10.1055/s-0040-1702029,Transparency of Health Informatics Processes as the Condition of Healthcare Professionals’ and Patients’ Trust and Adoption: the Rise of Ethical Requirements,Brigitte Séroussi; Kate Fultz Hollis; Lina F. Soualmia,"Oregon Health & Science University; Laboratoire d'Informatique, du Traitement de l'Information et des Systèmes; Assistance Publique – Hôpitaux de Paris; Sorbonne Université; Inserm; Université Sorbonne Paris Nord; Normandie Université; Laboratoire d'Informatique Médicale et d'Ingénierie des Connaissances en e-Santé; Hôpital Tenon",2020,26,True,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0040-1702029.pdf,Yearbook of Medical Informatics,en,"Objectives: To provide an introduction to the 2020 International Medical Informatics Association (IMIA) Yearbook by the editors. Methods: This editorial provides an introduction and overview to the 2020 IMIA Yearbook which special topic is: “Ethics in Health Informatics”. The keynote paper, the survey paper of the Special Topic section, and the paper about Donald Lindberg’s ethical scientific openness in the History of Medical Informatics chapter of the Yearbook are discussed. Changes in the Yearbook Editorial Committee are also described. Results: Inspired by medical ethics, ethics in health informatics progresses with the advances in biomedical informatics. With the wide use of EHRs, the enlargement of the care team perimeter, the need for data sharing for care continuity, the reuse of data for the sake of research, and the implementation of AI-powered decision support tools, new ethics requirements are necessary to address issues such as threats on privacy, confidentiality breaches, poor security practices, lack of patient information, tension on data sharing and reuse policies, need for more transparency on apps effectiveness, biased algorithms with discriminatory outcomes, guarantee on trustworthy AI, concerns on the re-identification of de-identified data. Conclusions: Despite privacy rules rooted in the Health Insurance Portability and Accountability Act of 1996 (HIPAA) in the USA and even more restrictive new regulations such as the EU General Data Protection Regulation published in May 2018, some people do not believe their data will be kept confidential and may not share sensitive information with a provider, which may also induce unethical situations. Transparency on healthcare data processes is a condition of healthcare professionals’ and patients’ trust and their adoption of digital tools."
yes,USPN,W4403048071,https://doi.org/10.1038/s41746-024-01237-y,"Algorithmovigilance, lessons from pharmacovigilance",Alan Balendran; Mehdi Benchoufi; Theodoros Evgeniou; Philippe Ravaud,"Columbia University; Sorbonne Université; Inserm; Université Sorbonne Paris Nord; INSEAD; Assistance Publique – Hôpitaux de Paris; Hôtel-Dieu de Paris; Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement; Centre de Recherche Épidémiologie et Statistique; Sorbonne Paris Cité; Université Paris Cité",2024,11,True,https://www.nature.com/articles/s41746-024-01237-y.pdf,npj Digital Medicine,en,"Artificial Intelligence (AI) systems are increasingly being deployed across various high-risk applications, especially in healthcare. Despite significant attention to evaluating these systems, post-deployment incidents are not uncommon, and effective mitigation strategies remain challenging. Drug safety has a well-established history of assessing, monitoring, understanding, and preventing adverse effects in real-world usage, known as pharmacovigilance. Drawing inspiration from pharmacovigilance methods, we discuss concepts that can be adapted for monitoring AI systems in healthcare. This discussion aims to improve responses to adverse effects and potential incidents and risks associated with AI deployment in healthcare but also beyond."
