Timestamp,1. Grupo de edad,2. Seleccione su institución de origen,3. ¿En qué área trabaja principalmente dentro de su organización?,4. ¿En qué campo de educación o investigación trabaja?,5. ¿Cuál es su nivel de estudios más alto completado?,6. ¿Cuánto tiempo lleva trabajando en el sector educativo?,7. ¿Cuál de las siguientes opciones describe mejor su competencia en alfabetización en datos y gestión de datos?,8. Reconozco mis necesidades de información y encuentro recursos básicos.,"8. Puedo ilustrar las necesidades de información y navegar entre datos, información y contenidos digitales.",8. Puedo navegar eficazmente por fuentes digitales y ayudar a otros a aplicar estrategias de búsqueda adecuadas.,8. Puedo variar las estrategias de búsqueda para encontrar los datos más apropiados.,8. Evalúo las necesidades de información y adapto las estrategias de búsqueda para contenidos complejos.,8. Innovo nuevos enfoques para resolver desafíos complejos de recuperación de información.,9. Puedo reconocer indicadores básicos de fuentes fiables.,9. Puedo interpretar y comparar indicadores de fiabilidad y sesgo en contextos definidos.,9. Puedo aplicar técnicas de evaluación y guiar a otros en su uso.,"9. Puedo distinguir entre información basada en hechos y opiniones, e identificar limitaciones.",9. Puedo evaluar críticamente la fiabilidad de la información en situaciones complejas.,9. Puedo desarrollar enfoques especializados para problemas complejos de evaluación.,10. Puedo organizar datos e información para un acceso fácil en situaciones no rutinarias.,"10. Puedo estructurar y gestionar datos para su almacenamiento y recuperación, y guiar a otros.",10. Puedo analizar y mejorar la gestión de datos en mi trabajo.,10. Puedo adaptar la gestión de datos para un almacenamiento eficaz en situaciones complejas.,"10. Puedo crear soluciones innovadoras para organizar, almacenar y recuperar datos.",11. Ejemplos de competencias avanzadas en alfabetización o gestión de datos,"12. Búsqueda y filtrado de datos, información y contenido digital [Necesidad de formación]","12. Evaluación de datos, información y contenido digital [Necesidad de formación]","12. Gestión de datos, información y contenido digital [Necesidad de formación]",13. Áreas adicionales de formación en alfabetización en datos,14. ¿Cuál de las siguientes opciones describe mejor su competencia en IA?,15. Puedo detectar cuándo las herramientas de IA pueden afectar a la fiabilidad de los datos.,15. Puedo analizar e interpretar el sesgo y las limitaciones en los datos procesados por IA.,15. Puedo evaluar los resultados generados por IA y guiar a otros.,"15. Puedo analizar y explicar patrones, inconsistencias y limitaciones en los resultados de IA.",15. Puedo evaluar críticamente la credibilidad de los resultados de IA en contextos complejos.,15. Puedo crear soluciones para problemas complejos de evaluación de IA.,16. Puedo reconocer desafíos organizativos habituales y tecnologías básicas de IA.,16. Puedo adaptar soluciones de IA a necesidades y flujos de trabajo específicos.,16. Puedo aplicar diferentes herramientas de IA y guiar a otros en su uso.,16. Puedo analizar la idoneidad de las tecnologías de IA para problemas complejos.,16. Puedo evaluar necesidades y seleccionar herramientas de IA considerando riesgos éticos.,16. Puedo diseñar soluciones de IA a medida para mejorar procesos de trabajo.,17. Estoy familiarizado/a con herramientas básicas de IA para mejorar prácticas laborales.,17. Entiendo cómo usar la IA de forma creativa para resolver problemas.,17. Puedo aplicar herramientas de IA para crear nuevas soluciones y guiar a otros.,17. Puedo analizar oportunidades para usar la IA para crear conocimiento.,17. Puedo evaluar críticamente y adaptar herramientas de IA para necesidades complejas.,17. Puedo diseñar soluciones innovadoras basadas en IA para problemas complejos.,18. Ejemplos de competencias avanzadas en IA,"19. Evaluación de datos, información y contenido digital [Necesidad de formación IA]",19. Identificación de necesidades y respuestas tecnológicas [Necesidad de formación IA],19. Utilización creativa de las tecnologías digitales [Necesidad de formación IA],20. Áreas adicionales de formación en IA,21. Microcredenciales completadas
2026-06-01T21:45:06Z,25-44,University of Malaga,Docencia,Artes y humanidades,Máster o nivel equivalente (CINE 7),3–5 años,Aplicación guiada,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,Sí,No estoy seguro/a,Sí,I need training on organizing digital archives of student creative work.,Aplicación independiente,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,"I use AI image generators (Midjourney, DALL-E) as a teaching tool to discuss authorship, creativity and copyright with my students. It generates fantastic debate. Also use ChatGPT for lesson planning.",Sí,Sí,Sí,Training on AI ethics in creative fields and intellectual property issues with generative AI.,
2026-06-01T18:31:49Z,25-44,University of Malaga,Docencia e investigación en proporciones aproximadamente iguales,"Ciencias naturales, matemáticas y estadística",Doctorado o nivel equivalente (CINE 8),3–5 años,Innovación / Experiencia avanzada,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Created a shared research data repository with versioning using Git LFS and DVC. Currently used by 12 researchers in our group for reproducible experiments.,No,No,No,,Evaluación crítica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,"I use Claude and ChatGPT daily for literature review, Python code generation, and drafting grant proposals. Also built custom GPTs for our lab's specific workflows.",No estoy seguro/a,No,No,Interested in multi-agent AI systems for research automation.,DataCamp Data Science with Python track
2026-06-01T09:41:13Z,25-44,University of Malaga,Docencia,"Ciencias sociales, periodismo e información",Máster o nivel equivalente (CINE 7),3–5 años,Aplicación guiada,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,No estoy seguro/a,No estoy seguro/a,No,,Comprensión básica,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,"I've tried ChatGPT but I find it generates confident-sounding nonsense too often. Students should learn to think critically, not outsource their thinking to machines.",No estoy seguro/a,No,No,"If any training, it should focus on the risks and limitations of AI, not just promotion and hype.",
2026-06-01T12:02:06Z,45-64,University of Malaga,Administración,"Negocios, administración y derecho",Máster o nivel equivalente (CINE 7),Más de 10 años,Aplicación independiente,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,I manage our department's file system and ensure compliance with data retention policies. I've created templates and naming conventions that the whole team uses.,Sí,No estoy seguro/a,Sí,"Training on institutional data management systems would be helpful, especially for reporting and compliance.",Aplicación guiada,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,"I use Copilot in Word to draft emails, summarize meeting notes and create report outlines. Always review the output before sending.",Sí,Sí,No estoy seguro/a,Training on how to use AI for report writing and data analysis in administration.,Microsoft 365 Fundamentals
2026-06-01T20:40:29Z,45-64,University of Malaga,Investigación,"Ciencias naturales, matemáticas y estadística",Doctorado o nivel equivalente (CINE 8),Más de 10 años,Innovación / Experiencia avanzada,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,"I built a bibliometric database of 500+ publications using the OpenAlex API, cleaned and structured the data for network analysis. Published results in a journal paper on research collaboration patterns.",No,No,No,,Evaluación crítica,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,"I integrated machine learning models (random forests, gradient boosting) into our data analysis pipeline for predicting experimental outcomes. Also use LLMs for automated literature synthesis and report generation.",No estoy seguro/a,No,No,Training on deploying ML models in production environments and model monitoring.,"Google Data Analytics Certificate, fast.ai Practical Deep Learning course"
2026-06-01T20:18:33Z,65+,University of Malaga,Investigación,"Ciencias sociales, periodismo e información",Doctorado o nivel equivalente (CINE 8),Más de 10 años,Aplicación guiada,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,My data management skills come from decades of managing research archives. I know how to find things without algorithms.,No,No,No estoy seguro/a,,Solo reconocimiento,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,,No,No,No,"I would consider training that critically examines the societal impact of AI, not just technical how-to courses.",
2026-06-01T09:27:37Z,15-24,University of Malaga,Administración,"Negocios, administración y derecho",Grado universitario o nivel equivalente (CINE 6),Menos de 3 años,Solo reconocimiento,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,,Sí,Sí,Sí,"Anything basic about data management would be useful, I feel very lost sometimes.",Solo reconocimiento,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,,Sí,Sí,Sí,I would like to understand what AI tools exist and how they could help with administration.,
2026-06-01T12:52:16Z,25-44,University of Malaga,Investigación,Tecnologías de la información y la comunicación,Doctorado o nivel equivalente (CINE 8),5–10 años,Innovación / Experiencia avanzada,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,I built a data pipeline using Python and Pandas to clean and merge research datasets from multiple sources across three departments. The unified database is now used for cross-institutional bibliometric analysis.,No,No,No estoy seguro/a,Interested in FAIR data principles applied to AI training datasets.,Innovación / Experiencia avanzada,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,I developed a RAG-based chatbot for our department that answers questions about university regulations. Uses Mistral 7B with a vectorized knowledge base of 200+ policy documents. Response accuracy evaluated at 87%.,No,No,No estoy seguro/a,Would appreciate training on responsible AI deployment and EU AI Act compliance for educational settings.,"Google Data Analytics Certificate, Coursera Deep Learning Specialization (Andrew Ng)"
2026-06-01T20:39:30Z,25-44,University of Malaga,Administración,Servicios,Grado universitario o nivel equivalente (CINE 6),Menos de 3 años,Comprensión básica,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,Ni de acuerdo ni en desacuerdo,,No estoy seguro/a,No,No,,Solo reconocimiento,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,,No,No estoy seguro/a,No,,
2026-06-02T15:25:12Z,45-64,University of Malaga,Docencia,Educación,Doctorado o nivel equivalente (CINE 8),Más de 10 años,Comprensión básica,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,,No,No,No,,Sin competencia,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,I refuse to use AI tools in my teaching. Students need to develop their own writing and analytical skills.,No estoy seguro/a,No,No,Training should address how to detect AI-generated work and maintain academic integrity.,
